Titre,Entreprise,Ville,Contrat,Date,Ville_propre,Departement,Contrat_propre,texte_complet,cluster_metier,high_demand,pred_high_demand
Tuyauteur H/F Actemium - Cegelec Pau,Actemium - Cegelec Pau,Pardies - 64,CDI,il y a 20 heures,Pardies,64.0,CDI,Tuyauteur H/F Actemium - Cegelec Pau Actemium - Cegelec Pau Pardies CDI,3,1,1
Technicien de Chantiers Déshydratation H/F Veolia Agriculture France,Veolia Agriculture France,Nancy - 54,CDI,il y a 20 heures,Nancy,54.0,CDI,Technicien de Chantiers Déshydratation H/F Veolia Agriculture France Veolia Agriculture France Nancy CDI,0,0,0
Ingénieur Génie Civil et Construction H/F Acxes,Acxes,Lyon - 69,CDI,il y a 20 heures,Lyon,69.0,CDI,Ingénieur Génie Civil et Construction H/F Acxes Acxes Lyon CDI,2,0,0
Assistant Ménager et de Prospection H/F Maison et Services,Maison et Services,Châlons-en-Champagne - 51,CDI,il y a 20 heures,Châlons-en-Champagne,51.0,CDI,Assistant Ménager et de Prospection H/F Maison et Services Maison et Services Châlons-en-Champagne CDI,3,1,1
Responsable Agence H/F Socotec,Socotec,Aix-en-Provence - 13,CDI,il y a 20 heures,Aix-en-Provence,13.0,CDI,Responsable Agence H/F Socotec Socotec Aix-en-Provence CDI,3,1,1
Chef de Chantier Électricité Industrielle H/F Vinci Energies France Industrie Méditerranée,Vinci Energies France Industrie Méditerranée,Baillargues - 34,CDI,il y a 20 heures,Baillargues,34.0,CDI,Chef de Chantier Électricité Industrielle H/F Vinci Energies France Industrie Méditerranée Vinci Energies France Industrie Méditerranée Baillargues CDI,1,0,0
Dessinateur Charpente et Structure Bois H/F VCSP Batiment Nord Est et ANSC,VCSP Batiment Nord Est et ANSC,Saône-et-Loire - 71,CDI,il y a 20 heures,Saône-et-Loire,71.0,CDI,Dessinateur Charpente et Structure Bois H/F VCSP Batiment Nord Est et ANSC VCSP Batiment Nord Est et ANSC Saône-et-Loire CDI,3,1,1
Opérateur Spécialisé en Transformation de Viandes H/F Sodebo,Sodebo,Montaigu-Vendée - 85,CDI,il y a 20 heures,Montaigu-Vendée,85.0,CDI,Opérateur Spécialisé en Transformation de Viandes H/F Sodebo Sodebo Montaigu-Vendée CDI,3,1,1
Manoeuvre TP H/F VINCI Energies Infrastructures Auvergne,VINCI Energies Infrastructures Auvergne,Clermont-Ferrand - 63,CDI,il y a 20 heures,Clermont-Ferrand,63.0,CDI,Manoeuvre TP H/F VINCI Energies Infrastructures Auvergne VINCI Energies Infrastructures Auvergne Clermont-Ferrand CDI,1,0,0
Chargé de Clientèle Bancaire Confirmé H/F Crédit Mutuel de Bretagne,Crédit Mutuel de Bretagne,Finistère - 29,CDI,il y a 20 heures,Finistère,29.0,CDI,Chargé de Clientèle Bancaire Confirmé H/F Crédit Mutuel de Bretagne Crédit Mutuel de Bretagne Finistère CDI,4,0,0
Chef.Fe d'Équipe Électricité Tertiaire H/F Groupe Fauché,Groupe Fauché,Agen - 47,CDI,il y a 20 heures,Agen,47.0,CDI,Chef.Fe d'Équipe Électricité Tertiaire H/F Groupe Fauché Groupe Fauché Agen CDI,3,1,1
Électricien Industriel et Tertiare Confirmé H/F SPIE Facilities,SPIE Facilities,Saint-Apollinaire - 21,CDI,il y a 20 heures,Saint-Apollinaire,21.0,CDI,Électricien Industriel et Tertiare Confirmé H/F SPIE Facilities SPIE Facilities Saint-Apollinaire CDI,4,0,0
